"作答ID","用户ID","开始时间","结束时间","作答总时长(秒)","作答渠道","发布ID","问卷发布名称","IP","经度","纬度","省份","城市","设备类型","操作系统类型","浏览器类型","屏幕分辨率","随机元素","您好。感谢您参与本次学术研究。本研究旨在了解用户对数字游戏产品说明的看法。您将阅读一个游戏产品说明，并根据自己的真实想法回答若干问题。本问卷仅用于学术研究，所有数据将匿名处理，不涉及对错。整份问卷大约需要3至5分钟。","作答时长(毫秒)","您通常玩数字游戏的频率是？","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在游戏开发阶段预先生成了部分对话、剧情事件和世界内容；玩家游玩时，人工智能不会继续参与这些内容的生成。","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在玩家游玩过程中实时生成部分对话、游戏事件和世界内容。","作答时长(毫秒)","该产品页面表明，这款游戏使用了生成式人工智能。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在游戏开发阶段预先生成了部分游戏内容。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在玩家游玩过程中实时生成游戏内容。","作答时长(毫秒)","我觉得这款游戏体现了大量的人类创作努力。","作答时长(毫秒)","我觉得这款游戏的制作投入了大量的人类努力。","作答时长(毫秒)","我觉得这款游戏是经过人类精心打磨而成的。","作答时长(毫秒)","我觉得这款游戏凝聚了相当多的人类劳动。","作答时长(毫秒)","我觉得这款游戏给人一种新颖的感觉。","作答时长(毫秒)","我觉得这款游戏是一种新鲜而令人兴奋的游戏产品。","作答时长(毫秒)","我觉得这款游戏代表了一种新颖的数字游戏形式。","作答时长(毫秒)","我会考虑购买这款游戏。","作答时长(毫秒)","我购买这款游戏的意愿较高。","作答时长(毫秒)","我购买这款游戏的可能性较高。","作答时长(毫秒)","如果这款游戏现在可以购买，我会有兴趣购买它。","作答时长(毫秒)","您最多愿意为这款游戏支付多少钱？请填写金额（单位：元）","作答时长(毫秒)","我通常愿意尝试使用新技术的产品。","作答时长(毫秒)","我通常对技术创新持积极态度。","作答时长(毫秒)","我对融入人工智能的产品感兴趣。","作答时长(毫秒)","我通常喜欢叙事型角色扮演游戏。","作答时长(毫秒)","我对这种类型的游戏比较熟悉。","作答时长(毫秒)","这种类型的游戏符合我的个人兴趣。","作答时长(毫秒)","我对生成式人工智能技术比较熟悉。","作答时长(毫秒)","我了解生成式人工智能在数字产品中的典型用途。","作答时长(毫秒)","为确保您认真作答","作答时长(毫秒)","您的性别是？","作答时长(毫秒)","您的年龄是？","作答时长(毫秒)","您的最高学历是？","作答时长(毫秒)","您平均每周玩数字游戏的时长约为？","作答时长(毫秒)"
"gnzdzJrQnAw","WMR8NV8L","2026-04-27 22:14:08","2026-04-27 22:16:40","152","数据集市","ABJV7z","数字游戏产品评价研究","223.153.217.192","109.7695760","27.8277840","湖南省","长沙市","MOBILE","Android","Chrome","353px*720px","块 2","1","1000","4","9307","1","1000","","","","","7","30806","4","17189","7","2865","2","7377","2","1613","1","1373","1","1459","6","1207","7","1041","5","1102","7","949","6","1005","6","796","7","768","68","3410","7","1127","7","2811","5","1035","6","907","5","1025","7","824","7","1037","5","1641","1","862","1","53385","3","729","3","1150","4","1998"
"NRwawm3XRAb","kMr6NaYM","2026-04-27 22:12:46","2026-04-27 22:16:39","233","数据集市","ABJV7z","数字游戏产品评价研究","111.19.104.9","109.4854550","34.5117170","陕西省","渭南市","MOBILE","Android","Chrome","362px*804px","块 2","1","1000","3","8674","1","1000","","","","","2","45568","1","2186","1","3439","6","2462","7","26791","6","515","7","2191","3","3436","2","3431","2","4243","5","31100","4","2308","4","1591","5","9443","58","4238","6","5080","6","25104","5","1445","6","874","7","9427","6","1610","6","3624","5","19318","1","2003","2","1923","5","2547","3","1398","3","6829"
"oBDxD6yNxvn","0eymzjGe","2026-04-27 22:14:01","2026-04-27 22:16:39","158","数据集市","ABJV7z","数字游戏产品评价研究","119.185.194.95","117.5441140","34.7349350","山东省","枣庄市","MOBILE","Android","Chrome","373px*818px","块 2","1","1000","3","25058","1","1000","","","","","1","20378","1","243","1","266","5","1067","5","263","6","412","5","745","4","6403","4","311","3","1045","4","306","3","4821","4","401","4","266","50","10203","4","1909","5","301","4","9382","5","883","4","356","4","744","3","1993","3","311","1","25080","2","3247","2","519","3","4195","2","24908"
"oBDxD6yXNaB","kM1jwzB7","2026-04-27 22:14:33","2026-04-27 22:16:39","126","数据集市","ABJV7z","数字游戏产品评价研究","116.130.27.112","117.1580580","39.1048940","天津市","市辖区","MOBILE","Android","Chrome","355px*793px","块 4","1","1000","2","6891","","","","","1","1000","6","20412","6","5258","3","5098","3","4197","2","2420","3","2323","2","3220","5","1497","3","1606","5","3786","2","1796","1","1976","2","5590","2","7779","10","4197","3","4421","6","2770","3","3998","6","1996","4","6318","5","2335","4","2829","2","1792","1","1795","2","3649","2","832","1","6376","2","2357"
"bNp8plJlbjJ","4enGWAM1","2026-04-27 22:12:38","2026-04-27 22:16:37","239","数据集市","ABJV7z","数字游戏产品评价研究","112.20.114.22","120.9413239","31.7263186","江苏省","苏州市","MOBILE","iOS","Apple WebKit","390px*844px","块 2","1","1000","4","5073","1","1000","","","","","6","11297","7","721","7","1341","6","329","6","3228","6","674","5","1100","7","554","7","1051","7","415","6","1056","7","485","7","1970","6","1908","40","4723","7","1532","7","182809","7","2742","4","877","7","518","5","1885","7","639","7","834","1","3431","1","350","3","2906","3","1773","3","2524"
"Q4yOyYxb1KG","QL0daRQL","2026-04-27 22:13:20","2026-04-27 22:16:36","196","数据集市","ABJV7z","数字游戏产品评价研究","113.68.241.114","113.4632590","22.9909910","广东省","广州市","MOBILE","Android","Chrome","360px*800px","块 2","1","1000","3","2420","1","1000","","","","","3","28734","3","2715","2","2995","5","7614","7","1972","6","945","7","945","5","1544","6","901","5","2576","7","2432","6","899","6","934","7","2131","100","5272","5","1455","7","1025","6","1242","6","1353","5","1104","7","924","5","1794","6","878","1","1710","1","14116","3","1042","3","1339","4","6666"
"oBDxD69JO0O","5M22J9VM","2026-04-27 22:12:54","2026-04-27 22:16:36","222","数据集市","ABJV7z","数字游戏产品评价研究","10.105.144.188","112.6982960","23.3503230","广东省","肇庆市","MOBILE","Android","Chrome","384px*854px","块 2","1","1000","5","9731","1","1000","","","","","1","62672","1","4634","1","1203","5","12916","6","2276","6","6298","6","8611","5","26639","5","4195","4","6304","5","1909","4","6000","4","1460","5","2384","68","15941","6","10348","6","3154","5","1431","7","7086","6","2117","7","2036","5","2700","5","2197","1","1704","1","2652","6","1620","3","3068","4","4777"
"nNPOP8A2la0","9LQBOaQe","2026-04-27 22:13:07","2026-04-27 22:16:34","207","数据集市","ABJV7z","数字游戏产品评价研究","223.160.150.93","124.2624370","40.0360360","辽宁省","沈阳市","MOBILE","Android","Chrome","370px*822px","块 4","1","1000","5","8087","","","","","1","1000","6","18993","3","33701","7","1735","5","75499","6","752","6","1538","5","904","7","1902","6","1038","6","1377","7","1094","5","1280","7","885","7","7613","98","9251","6","1151","7","894","6","770","5","1713","6","4201","6","1626","7","1298","6","2073","1","9795","2","4270","6","1005","3","1330","4","3176"
"oBDxDqqPD40","4enPOad7","2026-04-27 22:11:52","2026-04-27 22:16:33","281","数据集市","ABJV7z","数字游戏产品评价研究","113.234.90.2","121.5236307","38.9059563","辽宁省","大连市","MOBILE","iOS","Apple WebKit","390px*844px","块 3","1","1000","4","32448","","","1","1000","","","7","44308","7","4810","1","3802","6","4350","6","8268","7","2303","5","4719","6","1901","5","6370","6","1715","7","2533","6","351","6","1117","7","2301","88","11290","7","4829","7","1067","6","2185","5","6802","6","2601","5","2118","7","2186","6","1632","1","2202","1","16865","3","2795","3","1536","3","40049"
"lxoloQkWQw4","KLOkJk3L","2026-04-27 22:12:31","2026-04-27 22:16:32","241","数据集市","ABJV7z","数字游戏产品评价研究","175.31.47.235","124.2859960","43.4697340","吉林省","辽源市","MOBILE","Android","Chrome","393px*851px","块 3","1","1000","5","1784","","","1","1000","","","6","79104","7","7975","2","600","3","5381","1","266","2","972","1","1253","6","1369","5","252","7","692","6","249","6","686","5","246","7","764","68","3615","6","683","5","837","7","282","6","749","5","235","7","652","6","262","5","733","1","675","1","6127","3","1604","3","1614","4","1655"
"lxoloQj3YKp","kMryzg0e","2026-04-27 22:13:28","2026-04-27 22:16:32","184","数据集市","ABJV7z","数字游戏产品评价研究","36.63.72.108","117.0251280","30.5137070","安徽省","安庆市","MOBILE","Android","Chrome","320px*712px","块 4","1","1000","3","6849","","","","","1","1000","7","63846","1","48113","7","692","3","8990","2","1486","3","1615","2","1649","5","2043","4","1586","6","4889","5","1602","5","1580","6","1371","6","1145","50","9083","5","2202","6","1627","6","1095","7","1912","6","1026","6","1435","7","1094","5","2298","1","2152","1","1923","4","1352","3","2303","3","4768"
"Q4yOyV6DDQd","xMoDGPO7","2026-04-27 22:13:59","2026-04-27 22:16:32","153","数据集市","ABJV7z","数字游戏产品评价研究","36.143.151.140","115.2736078","39.6380874","河北省","保定市","MOBILE","iOS","Apple WebKit","390px*844px","块 3","1","1000","4","6863","","","1","1000","","","7","51482","7","13586","7","30295","2","2937","1","5046","3","1588","3","1867","5","3439","5","4249","6","3133","6","1469","6","2131","6","901","6","1166","49","4073","5","2462","6","1117","5","883","6","1019","6","1200","5","1065","6","1067","5","1048","1","1821","2","1481","4","1084","2","966","3","1582"
"Q4yOyVoRGP4","eyPJqXvL","2026-04-27 22:12:37","2026-04-27 22:16:31","234","数据集市","ABJV7z","数字游戏产品评价研究","223.88.143.66","112.4408570","34.4166520","河南省","洛阳市","MOBILE","Android","Chrome","320px*569px","块 4","1","1000","3","12952","","","","","1","1000","7","18357","1","28568","7","3781","3","8084","1","1347","2","12484","2","1071","6","2385","5","1365","7","1103","6","1206","6","951","5","977","7","553","90","6009","6","1640","5","1452","7","651","6","1262","7","1384","5","975","6","1989","6","1237","1","1322","2","2572","6","2330","1","1640","3","3668"
"WPdNdV6Om4G","7aQG1xb7","2026-04-27 22:14:07","2026-04-27 22:16:31","144","数据集市","ABJV7z","数字游戏产品评价研究","175.152.207.199","103.8924640","30.6858060","四川省","成都市","MOBILE","Android","Chrome","393px*873px","块 2","1","1000","2","1870","1","1000","","","","","1","13641","1","2726","1","2425","7","2717","6","2372","6","3037","6","2114","5","1890","5","5719","6","3704","5","1767","5","2271","5","1330","4","11546","68","7152","5","28852","6","1012","1","6053","5","2129","4","3863","5","4196","2","4822","2","6701","1","1400","1","8328","3","908","2","988","2","6741"
"Q4yOyVp4DbY","ekq9RoQ7","2026-04-27 22:14:13","2026-04-27 22:16:31","138","数据集市","ABJV7z","数字游戏产品评价研究","36.148.96.208","109.8027819","27.8583665","湖南省","怀化市","MOBILE","iOS","Apple WebKit","375px*667px","块 4","1","1000","3","5893","","","","","1","1000","7","71573","3","8026","7","13201","1","1417","2","1333","2","834","1","916","6","972","6","2928","7","1066","7","2618","5","1549","7","2234","6","1034","68","3182","7","1036","5","1504","7","1483","6","1009","6","885","7","900","5","1033","7","918","1","1616","2","1966","4","717","3","1500","3","2667"
"mnZ5ZybNvNn","e4BQK9D7","2026-04-27 22:13:24","2026-04-27 22:16:30","186","数据集市","ABJV7z","数字游戏产品评价研究","36.45.234.63","109.4581700","36.6156800","陕西省","西安市","MOBILE","Android","Chrome","400px*890px","块 3","1","1000","4","4754","","","1","1000","","","6","39254","7","4114","1","21144","5","30772","5","1771","6","1180","6","1369","7","3707","7","1785","6","1021","5","4224","6","958","5","1162","6","2665","75","13524","5","1949","7","1695","6","799","6","3451","7","740","6","1341","5","966","4","1994","1","3128","1","3716","3","944","3","1375","4","9211"
"lxoloQx6Nvq","Mo1O5NnL","2026-04-27 22:15:27","2026-04-27 22:16:29","62","数据集市","ABJV7z","数字游戏产品评价研究","39.144.129.223","120.8950920","27.9995430","浙江省","温州市","MOBILE","Android","Chrome","360px*800px","块 3","1","1000","4","4287","","","1","1000","","","7","16362","5","598","6","1076","5","1823","6","1557","6","1149","7","1336","6","1081","5","892","5","1007","6","1201","5","968","6","1210","6","1902","68","4118","7","806","5","778","5","1241","6","1507","6","790","5","938","5","913","6","2029","1","2758","1","3521","2","679","2","2283","2","2407"
"nNPOP8Ky0qN","Jekwjnze","2026-04-27 22:13:00","2026-04-27 22:16:28","208","数据集市","ABJV7z","数字游戏产品评价研究","114.86.37.221","121.3349760","31.1725727","上海市","市辖区","MOBILE","iOS","Apple WebKit","393px*852px","块 2","1","1000","4","9549","1","1000","","","","","3","29201","2","2235","3","1585","6","11132","5","952","6","1166","6","1101","5","1968","7","485","6","701","5","1083","5","685","6","617","5","1016","68","3523","6","3524","6","1402","5","802","7","932","7","768","6","685","5","1254","5","1048","1","1067","1","61318","2","604","3","1784","4","3902"
"WPdNdV5A39B","z7AzokyL","2026-04-27 22:12:51","2026-04-27 22:16:27","216","数据集市","ABJV7z","数字游戏产品评价研究","119.182.19.150","116.7665640","35.5462517","山东省","济宁市","MOBILE","iOS","Apple WebKit","390px*844px","块 3","1","1000","4","7134","","","1","1000","","","7","72351","7","332","1","737","6","449","6","8094","6","109","6","306","5","1049","5","248","4","7653","5","274","6","1034","5","280","5","1267","60","14269","6","16932","5","260","5","260","6","983","6","250","6","268","4","5182","4","260","1","1387","1","3456","2","436","3","1097","3","1631"
"WPdNdVWdroE","oe4pVvme","2026-04-27 22:13:33","2026-04-27 22:16:26","173","数据集市","ABJV7z","数字游戏产品评价研究","117.155.45.184","113.9063930","29.7368210","湖北省","咸宁市","MOBILE","Android","Chrome","378px*817px","块 2","1","1000","4","1976","1","1000","","","","","6","71175","6","1158","6","22938","4","9630","3","6939","2","876","3","2688","7","8492","7","1355","7","2843","6","1755","6","5644","6","1079","7","1426","88","4959","7","2302","7","1495","6","679","7","4383","6","1576","7","1536","6","593","6","1785","1","1603","2","1614","3","1355","3","1523","5","7039"
"Q4yOyrnWBqd","Bep3XoxL","2026-04-27 22:14:25","2026-04-27 22:16:24","119","数据集市","ABJV7z","数字游戏产品评价研究","39.154.19.185","111.7726952","40.9006790","内蒙古自治区","呼和浩特市","MOBILE","iOS","Apple WebKit","393px*852px","块 4","1","1000","5","3605","","","","","1","1000","7","35058","5","2733","4","5883","7","2822","7","1502","4","2278","3","2107","6","1529","5","1431","2","3267","6","1625","6","1776","5","3430","6","3671","100","4957","5","4991","6","1099","5","3236","6","6416","7","2639","6","1449","4","1799","6","2703","1","2033","2","3648","3","1327","3","1662","4","7243"
"gnzdzAlAnXn","ebqo1EXL","2026-04-27 22:11:57","2026-04-27 22:16:24","267","数据集市","ABJV7z","数字游戏产品评价研究","36.142.51.9","103.8308981","36.0722130","甘肃省","兰州市","MOBILE","iOS","Apple WebKit","393px*852px","块 2","1","1000","2","31336","1","1000","","","","","6","55105","6","18781","5","14777","2","5024","6","9970","6","4842","6","3709","3","4928","5","4442","6","5208","5","3178","5","4759","5","12034","6","7451","100","17844","6","6485","6","2530","6","2529","5","3344","6","2197","5","2728","6","3429","5","8420","1","4159","1","2320","4","1491","4","2347","1","8275"
"bNp8pOd5ZkR","p7Y3240e","2026-04-27 22:13:56","2026-04-27 22:16:24","148","数据集市","ABJV7z","数字游戏产品评价研究","180.213.199.219","117.6289540","39.0630630","天津市","市辖区","MOBILE","Android","Chrome","407px*904px","块 2","1","1000","2","1505","1","1000","","","","","4","47524","4","2911","3","16475","6","1696","5","9175","7","3748","7","2201","6","1878","5","2301","4","6463","5","2817","6","1780","6","1226","5","2720","50","3862","6","2657","7","1193","7","1259","5","1544","6","6046","5","1664","5","6837","6","3018","1","1723","1","5486","4","1226","4","1889","1","3851"
"vNrBrgm13BA","z7lz6zRe","2026-04-27 22:12:24","2026-04-27 22:16:23","239","数据集市","ABJV7z","数字游戏产品评价研究","120.239.148.182","110.0121210","20.6508660","广东省","湛江市","MOBILE","Android","Chrome","400px*890px","块 4","1","1000","4","8897","","","","","1","1000","7","55211","1","373","7","800","3","3149","3","2130","2","1146","3","706","6","2581","5","1039","7","796","5","1986","5","324","6","1794","5","2852","45","6411","6","4302","7","371","7","1428","5","360","7","910","5","741","6","286","6","1590","1","11760","1","79200","3","722","3","2067","4","13926"
"lxolo1YOZ2W","DMx16Jr7","2026-04-27 22:14:55","2026-04-27 22:16:23","88","数据集市","ABJV7z","数字游戏产品评价研究","27.128.11.79","115.1245800","36.6126130","河北省","石家庄市","MOBILE","Android","Chrome","394px*853px","块 3","1","1000","5","7797","","","1","1000","","","5","23526","6","538","5","638","3","634","5","1359","4","555","5","1379","6","490","4","3005","6","448","4","1241","5","1980","4","1016","5","1268","38","13270","3","1389","4","1564","3","487","5","1300","6","519","5","1441","6","2132","4","873","1","1843","1","4828","3","866","1","1575","4","9099"
"Q4yOyrO5vKB","ekq4oBA7","2026-04-27 22:13:20","2026-04-27 22:16:23","183","数据集市","ABJV7z","数字游戏产品评价研究","39.144.86.70","117.4390980","38.3853280","河北省","保定市","MOBILE","Android","Chrome","360px*804px","块 3","1","1000","2","6179","","","1","1000","","","7","48437","6","5113","1","49084","5","1094","5","17910","4","2509","4","2171","5","1508","5","1375","5","2730","6","3407","5","5278","5","851","6","2639","60","6992","6","1588","5","1236","6","2142","5","2736","5","1419","6","2085","5","1239","6","1103","1","1611","2","3324","5","1281","2","1716","2","1395"
"mnZ5Z314Bkd","LwPVY6ve","2026-04-27 22:13:27","2026-04-27 22:16:18","171","数据集市","ABJV7z","数字游戏产品评价研究","39.144.137.127","103.9882526","30.5568783","四川省","成都市","MOBILE","iOS","Apple WebKit","402px*874px","块 4","1","1000","3","200","","","","","1","1000","7","32824","1","11010","7","1756","2","8971","2","1499","3","2078","2","2296","4","801","3","1133","2","884","3","967","3","833","2","466","1","12283","30","4599","3","5149","2","2102","3","3496","6","1328","5","4393","6","685","3","366","3","1763","1","9227","2","6539","4","783","3","1250","2","2251"
"lxolo1WZQaq","7BGvgv3L","2026-04-27 22:14:47","2026-04-27 22:16:16","89","数据集市","ABJV7z","数字游戏产品评价研究","115.60.179.73","113.7467590","34.6638180","河南省","郑州市","MOBILE","Android","Chrome","370px*822px","块 3","1","1000","5","3162","","","1","1000","","","7","15080","7","19942","7","4092","6","1186","6","1320","6","1705","6","1134","6","1710","6","1676","6","1526","5","2857","5","569","5","1295","5","3021","68","7531","5","2808","6","815","6","1082","5","2341","5","1449","5","1190","5","1623","6","1237","1","1022","1","3028","3","599","3","1548","4","2407"
"NRwawamPmKB","RMW1Y4EL","2026-04-27 22:12:55","2026-04-27 22:16:13","198","数据集市","ABJV7z","数字游戏产品评价研究","171.10.126.185","113.7814870","34.7895570","河南省","郑州市","MOBILE","Android","Chrome","355px*793px","块 4","1","1000","4","3936","","","","","1","1000","6","16145","7","1296","6","707","4","33762","4","909","4","865","4","1766","6","1054","5","1116","6","875","6","919","5","836","6","740","7","1645","60","6850","6","2061","7","3424","6","691","6","759","7","714","7","745","7","771","7","734","1","1559","2","92248","5","3757","4","1727","4","3230"
"bNp8p86oQpY","Lm9Pnr4L","2026-04-27 22:12:50","2026-04-27 22:16:11","201","数据集市","ABJV7z","数字游戏产品评价研究","223.104.44.44","116.6029939","40.0775310","北京市","市辖区","MOBILE","iOS","Apple WebKit","390px*844px","块 3","1","1000","4","7609","","","1","1000","","","7","75121","7","11370","1","5650","5","12845","5","3044","4","4491","5","1287","6","4768","6","2758","7","2889","4","5362","5","4447","6","4848","5","5270","30","4285","5","9718","6","1182","7","4145","6","2941","7","2157","7","4426","6","2753","7","4717","1","1959","1","1965","4","887","3","1518","2","6055"
"oBDxDxYblvd","Ke5O9Q47","2026-04-27 22:12:07","2026-04-27 22:16:11","244","数据集市","ABJV7z","数字游戏产品评价研究","39.144.0.36","115.4565510","35.2972970","山东省","菏泽市","MOBILE","Android","Chrome","384px*854px","块 2","1","1000","4","2698","1","1000","","","","","1","114700","1","15464","1","3213","6","2183","7","4011","7","1272","7","1932","6","1519","6","1397","5","5778","6","42308","6","1175","6","3568","5","2837","68","5432","7","3627","7","1663","6","2542","5","1068","5","2209","5","916","6","3917","6","2504","1","4165","1","6476","3","721","4","1093","2","2902"
"gnzdzdBomDw","LwPvpD9e","2026-04-27 22:12:51","2026-04-27 22:16:06","195","数据集市","ABJV7z","数字游戏产品评价研究","111.25.192.131","124.8410620","45.1205910","吉林省","松原市","MOBILE","Android","Chrome","366px*801px","块 3","1","1000","2","29851","","","1","1000","","","7","44305","7","22432","1","6597","6","7696","6","1865","6","3805","6","1501","5","13510","5","3417","4","3161","4","2117","4","1800","4","1014","4","2827","50","6776","5","2825","5","3755","5","1214","6","2856","5","2427","6","3026","4","2822","4","3394","1","2624","2","2331","3","1725","3","2203","2","2170"
"nNPOPWAV68N","ebq2jWXL","2026-04-27 22:13:46","2026-04-27 22:16:04","138","数据集市","ABJV7z","数字游戏产品评价研究","120.231.118.172","113.2288760","22.6443900","广东省","中山市","MOBILE","Android","Chrome","365px*798px","块 3","1","1000","4","5367","","","1","1000","","","7","43279","7","12418","1","9595","3","4435","2","2528","3","7967","3","1992","5","3584","5","2806","6","2094","5","2285","5","1713","6","1619","6","4870","59","2376","6","2259","7","1394","7","1199","6","1428","5","2086","6","1350","5","2557","6","4788","1","1954","2","1668","4","1581","4","1667","2","2005"
"XOnmnw8g6dj","MdPWa36M","2026-04-27 22:11:55","2026-04-27 22:16:03","248","数据集市","ABJV7z","数字游戏产品评价研究","119.132.139.159","113.5235060","22.1911980","广东省","珠海市","MOBILE","Android","Chrome","378px*817px","块 4","1","1000","4","19236","","","","","1","1000","7","91321","2","523","7","358","3","455","3","902","2","6065","3","272","6","907","5","6950","6","408","4","775","4","280","4","1038","4","4611","45","2396","5","6176","5","240","5","614","6","5890","6","312","6","289","4","5922","4","290","1","962","2","4636","4","1398","2","1271","3","16337"
"oBDxDWWmrqB","Mo1Pk6WL","2026-04-27 22:14:13","2026-04-27 22:16:02","109","数据集市","ABJV7z","数字游戏产品评价研究","39.144.210.111","103.7348138","36.1048730","甘肃省","兰州市","MOBILE","iOS","Apple WebKit","402px*874px","块 4","1","1000","3","2218","","","","","1","1000","7","22163","1","10419","6","5283","3","2851","3","1417","3","1379","3","1068","7","1212","7","1552","7","1054","6","733","5","3459","6","917","6","1215","68","3284","6","3797","7","3079","7","933","7","1203","5","1483","6","1319","4","1949","4","2331","1","1323","2","3165","2","502","3","1183","1","5500"
"lxolopmmk14","7KvDDz6M","2026-04-27 22:12:44","2026-04-27 22:16:01","197","数据集市","ABJV7z","数字游戏产品评价研究","171.38.120.185","110.3088968","22.6983656","广西壮族自治区","玉林市","MOBILE","iOS","Apple WebKit","390px*844px","块 3","1","1000","3","20362","","","1","1000","","","6","58865","5","8941","2","14843","3","18276","2","842","3","2452","3","1815","5","2098","5","1569","6","1264","4","4154","4","445","5","8582","5","3802","20","13674","6","4647","6","434","5","1100","4","3532","5","1751","6","1701","5","1118","5","4315","1","2502","2","4802","3","2015","2","1801","2","2668"
"nNPOPW1vdnm","ve8yyogM","2026-04-27 22:11:59","2026-04-27 22:16:01","242","数据集市","ABJV7z","数字游戏产品评价研究","120.208.43.140","111.2055860","34.8181050","山西省","运城市","MOBILE","Android","Chrome","385px*854px","块 4","1","1000","4","13049","","","","","1","1000","7","41051","1","14361","7","1321","4","14323","3","625","3","1454","2","2235","6","5986","5","1858","7","1816","5","3153","7","7761","6","2059","6","928","98","10918","6","3121","7","2309","5","2118","6","3956","6","1122","7","410","5","3160","5","1133","1","11872","1","80733","3","1122","3","2646","4","3732"
"vNrBrWlKzQQ","ve8Jj607","2026-04-27 22:13:06","2026-04-27 22:16:00","174","数据集市","ABJV7z","数字游戏产品评价研究","183.199.92.83","114.5283570","36.5772020","河北省","邯郸市","MOBILE","Android","Chrome","640px*1024px","块 4","1","1000","3","7352","","","","","1","1000","5","54741","5","12977","6","19278","5","5607","6","3114","7","2918","7","2276","6","1634","7","2357","5","5270","7","5104","7","2007","6","1666","7","2306","300","7988","6","2941","7","1556","7","2012","6","1446","5","2781","6","1500","6","3050","7","4783","1","2137","2","2030","5","914","3","1824","4","8906"
"NRwawbOWD6r","Mo1pkaRL","2026-04-27 22:13:57","2026-04-27 22:15:59","122","数据集市","ABJV7z","数字游戏产品评价研究","112.114.84.89","100.0753155","23.8872710","云南省","临沧市","MOBILE","iOS","Apple WebKit","430px*932px","块 2","1","1000","1","7342","1","1000","","","","","7","39501","5","1552","7","4835","6","4349","6","2667","6","2152","5","5501","4","4816","6","2601","6","3485","1","2249","1","1752","1","1166","1","2771","0","2351","5","5422","4","2100","5","1818","3","4318","1","2366","2","2335","3","3199","2","2552","1","2453","2","1730","2","585","3","1549","1","2033"
"lxolop54aG5","7Kvxr26M","2026-04-27 22:13:08","2026-04-27 22:15:57","169","数据集市","ABJV7z","数字游戏产品评价研究","125.77.47.254","119.2957560","26.0409880","福建省","福州市","MOBILE","Android","Chrome","412px*915px","块 3","1","1000","4","4189","","","1","1000","","","7","2730","6","58979","2","3582","4","7538","4","1254","5","1905","4","5796","5","2119","5","5977","5","1641","6","411","5","1150","5","919","6","1721","80","24220","6","4373","7","670","6","2178","5","980","6","1145","6","1412","6","1953","5","767","1","1227","1","5391","4","810","3","1193","4","3049"
"oBDxDWOaqEd","MZqrRqDe","2026-04-27 22:14:04","2026-04-27 22:15:56","112","数据集市","ABJV7z","数字游戏产品评价研究","14.149.229.110","110.9103050","21.6405030","广东省","茂名市","MOBILE","Android","Chrome","355px*793px","块 3","1","1000","5","11749","","","1","1000","","","6","28169","6","5904","5","3618","6","3451","6","2831","7","2190","5","2711","7","2976","6","880","6","1687","7","3758","7","3413","7","2501","6","2879","100","4900","6","3441","6","1393","6","1301","5","2022","6","1487","6","2865","5","1943","5","1401","1","2172","1","3346","3","1638","3","1498","2","3057"
"Q4yOyZYjN0G","ev9OPR3L","2026-04-27 22:11:53","2026-04-27 22:15:53","240","数据集市","ABJV7z","数字游戏产品评价研究","115.156.141.57","114.4111209","30.5174049","湖北省","武汉市","TABLET","iOS","Apple WebKit","820px*1180px","块 3","1","1000","3","2735","","","1","1000","","","7","63206","7","397","2","15147","6","9251","5","3850","7","1716","6","349","7","5551","7","4267","6","1433","6","2132","7","4266","6","1133","6","1619","68","14110","6","6198","7","3032","5","716","6","7333","5","20552","5","3584","7","1016","5","9066","1","2535","1","8249","3","1280","3","1300","3","5732"
